,content,score,thumbsUpCount,reviewCreatedVersion,at,kota,clean_content,sentiment_score,sentiment
32,Hiya..hiya...hiya... Nice banged.. Sangat membantu aktivitas saya. 👍🏼👍🏼,5,0,4.99.1,2024-10-31 14:28:47,Jakarta Pusat,hiyahiyahiya nice banged bantu aktivitas,7,positive
33,"Ss,, Lazio di",2,0,4.87.3,2024-10-31 14:24:19,Jakarta Selatan,ss lazio,0,neutral
34,Bagus baik dan cepat,5,0,Unknown,2024-10-31 14:24:15,Jakarta Utara,bagus cepat,5,positive
35,cepat,5,0,4.99.1,2024-10-31 14:14:33,Jakarta Timur,cepat,3,positive
36,mantabbb,5,0,4.92.1,2024-10-31 13:51:49,Jakarta Utara,mantabbb,0,neutral
37,Sgt bisa diandalkan kapanpun dan di manapun sgt mudah di akses,5,0,4.99.1,2024-10-31 13:47:32,Jakarta Utara,andal mana mudah akses,11,positive
38,Banyak bonus voucher,5,0,4.99.1,2024-10-31 13:33:53,Jakarta Pusat,bonus voucher,7,positive
39,Promo yang luar biasa,5,0,Unknown,2024-10-31 13:30:59,Jakarta Utara,promo,3,positive
40,Jos banget,5,0,4.99.1,2024-10-31 13:25:40,Jakarta Selatan,jos banget,1,positive
41,"Driver nya pada ga niat kerja, pada di cocol tapi di cancel system. Aplikator juga bikin program merugikan, baik driver maupun customer rugi. Bikin driver males kerja, bikin customer males order. Otw pindah aplikasi sebelah, makasih.",1,1,4.98.1,2024-10-31 13:18:50,Jakarta Selatan,driver nya niat kerja cocol cancel system aplikator bikin program rugi driver customer rugi bikin driver malas kerja bikin customer malas order jalan pindah aplikasi belah terimakasih,-17,negative
42,"gocar oper operan,mempermainkan tidak rekomen ya guys,sudh bilg jpt tpi kabur ngoper trus diganti 3 kali driver tanpa pemberitahuan.",1,2,4.99.1,2024-10-31 13:17:59,Jakarta Timur,gocar oper operanmempermainkan rekomen ya guyssudh bilg jpt kabur ngoper ganti kali driver pemberitahuan,2,positive
43,Good,5,0,4.99.1,2024-10-31 13:17:52,Jakarta Utara,good,5,positive
44,"Sangat membantu,mudah dipahami",5,0,Unknown,2024-10-31 13:12:09,Jakarta Timur,membantumudah paham,0,neutral
45,Mantap,5,0,4.88.1,2024-10-31 13:10:01,Jakarta Utara,mantap,5,positive
46,InsyaAllah hati kita akan tenang dan nyaman terlindungi di hadapan yang maha kuasa...,5,0,4.99.1,2024-10-31 13:06:29,Jakarta Barat,insyaallah hati tenang nyaman lindung hadap maha kuasa,24,positive
47,Recommended good,5,0,4.99.1,2024-10-31 12:52:07,Jakarta Pusat,recommended good,5,positive
48,"Kritik harus di aktifkan fiktur menghubungi resto juga, jadi kita bisa meminta perubahan note jika lupa",2,0,4.99.1,2024-10-31 12:48:38,Jakarta Pusat,kritik aktif fiktur hubung resto ubah note lupa,-1,negative
49,"Tolong lah hapus konsep 1 driver bisa Terima beberapa pesanan customer gofood yang berbeda, kasian lah driver anter beberapa tempat berbeda, saya jadi customer jadi lama nunggu makanan saya sampai, bikin kebijakan tuh pikirin driver jangan pikirin untung perusahaan aja!!",1,2,4.99.1,2024-10-31 12:38:12,Jakarta Barat,tolong hapus konsep driver terima pesan customer gofood beda kasihan driver anter beda customer nunggu makan bikin bijak tuh pikirin driver pikirin untung usaha,13,positive
50,Keadilan kurang sama driver nya Mau untung besar sendiri,1,0,4.93.1,2024-10-31 12:35:48,Jakarta Selatan,adil driver nya untung,7,positive
51,Aplikasi nya lama lama gak bisa membantu kebutuhan sehari hari lain dengan aplikasi sebelah,1,0,4.60.1,2024-10-31 12:33:41,Jakarta Selatan,aplikasi nya bantu butuh hari aplikasi belah,-15,negative
52,Mksh Abang grab..Abang nya ramah bngt sukses selalu,5,0,4.86.2,2024-10-31 12:28:29,Jakarta Pusat,terimakasih abang grababang nya ramah bngt sukses,13,positive
53,Over all good,5,0,5.0.0,2024-10-31 12:08:48,Jakarta Barat,over all good,5,positive
54,Bagus,5,0,4.99.1,2024-10-31 11:58:27,Jakarta Timur,bagus,2,positive
55,"Kalo lagi mager, gk perlu bingung, ada gojek, sat settt....",5,0,5.0.1,2024-10-31 11:55:14,Jakarta Barat,mager bingung gojek settt,-4,negative
56,Bagus dan mantap save mai memories,5,0,Unknown,2024-10-31 11:50:10,Jakarta Barat,bagus mantap save mai memories,7,positive
57,"Oksss bngt buat smua tawarannya,nuhun ...",5,0,4.99.1,2024-10-31 11:47:32,Jakarta Utara,oksss bngt tawarannyanuhun,0,neutral
58,Ok sip,5,0,4.94.2,2024-10-31 11:45:23,Jakarta Pusat,ok sip,4,positive
59,IMADGUDNFUNDNI,2,0,Unknown,2024-10-31 11:45:07,Jakarta Pusat,imadgudnfundni,0,neutral
60,Ok,5,0,Unknown,2024-10-31 11:39:50,Jakarta Pusat,ok,4,positive
61,Bagus,5,0,4.99.1,2024-10-31 11:25:20,Jakarta Pusat,bagus,2,positive
62,Cepat gk ribet,5,0,4.99.1,2024-10-31 11:20:17,Jakarta Utara,cepat ribet,-1,negative
63,Akurat,5,0,4.99.1,2024-10-31 11:17:57,Jakarta Timur,akurat,0,neutral
64,Kode kesalahan 24.,5,0,4.99.1,2024-10-31 11:07:44,Jakarta Pusat,kode salah,-7,negative
65,Pake indrever aja sama grab,1,0,Unknown,2024-10-31 11:02:09,Jakarta Selatan,pakai indrever grab,0,neutral
66,Memudahkan urusan kita,5,0,4.99.1,2024-10-31 10:50:32,Jakarta Selatan,mudah urus,4,positive
67,Murah jika ada promo,5,0,4.86.2,2024-10-31 10:44:06,Jakarta Selatan,murah promo,6,positive
68,Terlalu banyak iklan dan menggaggu sekali,1,0,4.99.1,2024-10-31 10:41:44,Jakarta Utara,iklan menggaggu,0,neutral
69,Good,5,0,Unknown,2024-10-31 10:40:26,Jakarta Timur,good,5,positive
70,Aplikasi tolol,1,0,4.65.2,2024-10-31 10:38:44,Jakarta Barat,aplikasi tolol,-9,negative
71,"maaf ya, tapi kan aku udah ngecancel tuh buat biar ga nyari gojek lagi karna aku emang udah ada jemputan lain, tapi kok tiba tiba si driver udah mau sampe tempat ku, padahal aku aja udah di rumah. disini kasian banget si gojeknya😭😭 tolong yaa ini biar ga terjadi lagi🙏🏻🙏🏻 aku ga enak sama abang gojeknya",3,0,4.99.1,2024-10-31 10:34:08,Jakarta Barat,maaf ya ngecancel tuh biar nyari gojek emang jemput si driver ku rumah kasihan banget si gojek tolong yaa biar enak abang gojek,22,positive
72,Oke,5,0,4.99.1,2024-10-31 10:32:02,Jakarta Timur,oke,2,positive
73,Gocar josss,5,0,4.99.1,2024-10-31 10:30:12,Jakarta Selatan,gocar josss,0,neutral
74,nice,5,0,4.99.1,2024-10-31 10:28:15,Jakarta Pusat,nice,4,positive
75,ok banget...sukses buat semuanya 🙏,5,0,4.99.1,2024-10-31 10:24:46,Jakarta Barat,ok bangetsukses,4,positive
76,"Bagus dan membantu, tpi kadang-kadang elor dlm memesan transportasi.. Mohon di tingkatkan kualitas nya😇",4,1,4.99.1,2024-10-31 10:10:14,Jakarta Barat,bagus bantu kadangkadang elor mes transportasi mohon tingkat kualitas nya,12,positive
77,enak,5,0,4.98.1,2024-10-31 09:57:45,Jakarta Barat,enak,5,positive
78,Lebih mudah,5,0,Unknown,2024-10-31 09:56:22,Jakarta Utara,mudah,4,positive
79,sangat membantu,5,0,4.99.1,2024-10-31 09:55:59,Jakarta Pusat,bantu,3,positive
80,Oke,5,0,4.99.1,2024-10-31 09:50:12,Jakarta Pusat,oke,2,positive
81,"Driver lama saat gofood,,giliran mau dibatalkan nggak bisa,,lama kali baru dapet driver udah makan baru dateng pesenan nya!!!",1,0,Unknown,2024-10-31 09:46:12,Jakarta Timur,driver gofoodgiliran batal bisalama kali dapet driver makan pesan nya,0,neutral
82,Susah nyari driver..masa semua sibuk??,3,0,4.91.1,2024-10-31 09:40:15,Jakarta Timur,susah nyari drivermasa sibuk,-1,negative
83,Good,5,0,4.99.1,2024-10-31 09:32:55,Jakarta Barat,good,5,positive
84,bs gak klo pesen go food ongkir nya gak gila2 an.jauh deket mahal gilaaaa,3,0,4.99.1,2024-10-31 09:32:30,Jakarta Pusat,pesan go food ongkir nya gila anjauh mahal gilaaaa,6,positive
85,6 tahun pake gojek syukur belum pernah ada trouble. Keren Gojek!,5,0,5.0.1,2024-10-31 09:30:15,Jakarta Pusat,pakai gojek syukur trouble keren gojek,5,positive
86,Sangat membantu,5,0,4.99.1,2024-10-31 09:28:56,Jakarta Utara,bantu,3,positive
87,Gojek mantapppp,5,1,4.99.1,2024-10-31 09:23:00,Jakarta Pusat,gojek mantapppp,0,neutral
88,Aplikasi dungu. CS bot. 2 chat laporan dianggap selesai. Kocak. Emang bener pake SHOPEEFOOD aja,1,1,4.99.1,2024-10-31 09:16:29,Jakarta Barat,aplikasi dungu cs bot chat lapor anggap selesai kocak emang bener pakai shopeefood,-3,negative
89,tidak ramah 👌🏼👌🏼,1,1,4.99.1,2024-10-31 08:52:06,Jakarta Selatan,ramah,5,positive
90,"no words, hats off!",5,0,4.99.1,2024-10-31 08:49:54,Jakarta Pusat,nomor hats off,0,neutral
91,"Udah lama gk ke buka, skalinya D buka langsung kena virus. Lah ko bisa ?? Perasaan dlu aman aman aja",2,0,Unknown,2024-10-31 08:49:33,Jakarta Selatan,buka sekali d buka langsung kena virus ko asa aman aman,8,positive
92,"Semakin kesini semakin pusing aplikasinya , jangan menambahkan hala hal yang tidak perlu di aplikasi , ada pengirim cepat sedang dan lama , saya pesan goofood , dan langsung tekan pengiriman , ternyata driver gojek juga membawa pesanan yang lain , jadi lama sampainya , apa boleh membawa dua orderan ? Dulu saya rasa tidak boleh dan itu aturan yang betul . Makanan mau saya bawa ke luar kota , jadinya saya batal kan . Jangan membuat pembaruan yang tidak penting!!!!!!",1,8,4.98.1,2024-10-31 08:47:50,Jakarta Barat,kesini pusing aplikasi hala aplikasi kirim cepat pesan goofood langsung tekan kirim driver gojek bawa pesan sampai bawa order atur makan bawa kota batal baru,7,positive
93,Ok,5,0,4.99.1,2024-10-31 08:40:56,Jakarta Selatan,ok,4,positive
94,Makin parah aja nih aplikasi ke driver murah cs bayar nya mahal aplikasi Meres keringet driver,1,0,4.98.1,2024-10-31 08:30:43,Jakarta Pusat,parah nih aplikasi driver murah cs bayar nya mahal aplikasi meres keringat driver,-8,negative
95,"Aplikasi jelek, ada kali 10 kali lebih di cancel mulu, apasih maunya, perbaiki lah jelek banget ini",1,4,4.99.1,2024-10-31 08:25:22,Jakarta Utara,aplikasi jelek kali kali cancel mulu apasih mau baik jelek banget,-7,negative
96,Mantap orangnya ramah dan baik banget,4,1,4.99.1,2024-10-31 08:06:34,Jakarta Selatan,mantap orang ramah banget,11,positive
97,"Pertama kali nyoba GoFood Pas, KAPOK",1,0,4.68.1,2024-10-31 08:06:01,Jakarta Timur,kali nyoba gofood pas kapok,0,neutral
98,Mantap,5,0,4.99.1,2024-10-31 07:53:20,Jakarta Selatan,mantap,5,positive
99,Melihat GPS driver di bagussin,5,0,4.92.1,2024-10-31 07:44:37,Jakarta Utara,gps driver bagussin,0,neutral
100,I like it,5,0,4.93.1,2024-10-31 07:38:36,Jakarta Timur,i like it,0,neutral
101,Dunia digital seharusnya lebih simple .. Tapi tidak dengan gojek Order makanan sangat lama... Lama menunggu ketika mendapat driver juga masih lama menunggu ketika proses makanan ... Gojek k*nt*l,1,0,Unknown,2024-10-31 07:36:40,Jakarta Pusat,dunia digital simpel gojek order makan tunggu driver tunggu proses makan gojek kntl,9,positive
102,👍👍👍,5,0,4.99.1,2024-10-31 07:29:11,Jakarta Pusat,,0,neutral
103,👍,5,0,4.99.1,2024-10-31 07:02:15,Jakarta Selatan,,0,neutral
104,Sensasional,5,0,Unknown,2024-10-31 06:40:28,Jakarta Barat,sensasional,0,neutral
105,"sukses buat gojek, makmur buat pengemudinya",5,0,4.99.1,2024-10-31 06:24:59,Jakarta Barat,sukses gojek makmur mud,7,positive
106,Selama aku dijogja terbantu banget sama gojek,5,0,4.99.1,2024-10-31 06:24:43,Jakarta Pusat,dijogja bantu banget gojek,4,positive
107,cool,5,0,Unknown,2024-10-31 06:24:29,Jakarta Utara,cool,2,positive
108,"Aneh bgt yg gocar hemat sama yg biasa cuma beda 3 ribu orang2 pada gk mau nganterin pake hemat, pdhal nanti kalo mau juga tak kasi tips herannn",1,0,Unknown,2024-10-31 06:22:55,Jakarta Barat,aneh banget gocar hemat beda ribu orang antar pakai hemat kasih tips herannn,17,positive
109,"Aplikasi pembunuh driver online Promo ngawur yang di potong dan di tanggung ke driver sedangkan aplikator mengambil 100 % keuntungan dan potongan promo customer di tanggung dompet driver, aplikasi yang sangat tidak memanusiakan driver kasian driver sekarang",1,0,Unknown,2024-10-31 06:22:53,Jakarta Timur,aplikasi bunuh driver online promo ngasal potong tanggung driver aplikator ambil untung potong promo customer tanggung dompet driver aplikasi manusia driver kasihan driver,-10,negative
110,Busuk banget sekarang drivernya,1,0,4.96.2,2024-10-31 06:18:14,Jakarta Pusat,busuk banget drivernya,-4,negative
111,Tidak melakukan pelanggaran tiba2 akun di blokir,1,1,4.99.1,2024-10-31 06:15:12,Jakarta Utara,langgar akun blokir,-3,negative
112,drivernya ga niat kerja semua,1,0,Unknown,2024-10-31 06:13:38,Jakarta Timur,drivernya niat kerja,2,positive
113,jadi lemot parah,1,0,5.0.1,2024-10-31 06:12:44,Jakarta Utara,lot parah,-10,negative
114,kadang sudah lama nunggu baru di cancel Drive nya,3,0,5.0.1,2024-10-31 06:00:09,Jakarta Selatan,kadang nunggu cancel drive nya,4,positive
115,Bnyak promo nya dri pada yg sebelahh,5,0,5.0.1,2024-10-31 05:44:29,Jakarta Selatan,bnyak promo nya sebelahh,3,positive
116,Intinya mantap,5,0,4.99.1,2024-10-31 05:32:03,Jakarta Timur,inti mantap,5,positive
117,Drivernya ramah,5,0,4.98.1,2024-10-31 05:28:20,Jakarta Timur,drivernya ramah,5,positive
118,Sangat membantu sekali,5,0,4.99.1,2024-10-31 05:23:09,Jakarta Selatan,bantu,3,positive
119,Bagus,5,0,4.99.1,2024-10-31 05:18:45,Jakarta Timur,bagus,2,positive
120,Ok,5,0,4.99.1,2024-10-31 05:18:30,Jakarta Pusat,ok,4,positive
121,Good job,5,0,4.99.1,2024-10-31 05:08:15,Jakarta Selatan,good job,5,positive
122,Bertanggung jawab,5,0,4.99.1,2024-10-31 04:55:56,Jakarta Selatan,tanggung,-2,negative
123,Mantap,5,0,4.99.1,2024-10-31 04:54:35,Jakarta Selatan,mantap,5,positive
124,"Kasih lebih banyak lagi dong promonya, terutama do gofood nya",5,0,4.98.1,2024-10-31 04:49:15,Jakarta Pusat,kasih promonya do gofood nya,2,positive
125,Kebantu banget dgn adanya gojek..,5,0,4.99.1,2024-10-31 04:29:25,Jakarta Utara,bantu banget gojek,4,positive
126,ribet,1,0,4.99.1,2024-10-31 04:27:36,Jakarta Selatan,ribet,-4,negative
127,👍👍👍,5,0,4.99.1,2024-10-31 04:24:45,Jakarta Timur,,0,neutral
128,"Saya salah pesan di dapur coklat, begitu salah tekan, saya mau batalin tidak bisa,itu belum dapat driver, setelah itu dapur coklat chating dan saya bilang kalau saya salah pesan dan dari restonya juga ga bisa batalkan, setalah dapat driver saya minta tolong ke driver untuk batalkan katanya juga ga bisa, saya chating cs, jawaban otomatis tidak membantu sama sekali, saya tlpon cs pusat juga tidak bisa",1,9,4.99.1,2024-10-31 04:07:37,Jakarta Pusat,salah pesan dapur cokelat salah tekan batalin bisaitu driver dapur cokelat chating bilang salah pesan restonya batal seta driver tolong driver batal chating cs otomatis bantu tlpon cs pusat,-5,negative
129,I i8,4,0,Unknown,2024-10-31 04:04:08,Jakarta Selatan,i i,0,neutral
130,Mantap,5,0,4.99.1,2024-10-31 03:54:09,Jakarta Pusat,mantap,5,positive
131,Apk ok,5,0,Unknown,2024-10-31 03:54:08,Jakarta Barat,apk ok,4,positive
132,Bagus,5,0,4.99.1,2024-10-31 03:49:00,Jakarta Selatan,bagus,2,positive
133,"Customer yg terhormat saya driver Gojek tolong kerjasamanya kalo gak niat naik Gojek jangan pesan orderan lalu dibatalkan, buat anda gak masalah tapi bagi saya berdampak jadi sulit mendapatkan orderan . Sistem driver di hitung penerimaan order, penyelesaian order, jam online dan hari online jika salah satunya jelek berimbas ke semua, tolong dipahami . Makasih 🙏",2,2,4.99.1,2024-10-31 03:48:21,Jakarta Utara,customer hormat driver gojek tolong kerjasamanya niat gojek pesan order batal dampak sulit order sistem driver hitung terima order selesai order jam online online salah satu jelek imbas tolong paham terimakasih,-4,negative
134,bagus dan berguna,5,0,4.99.1,2024-10-31 03:44:00,Jakarta Barat,bagus guna,3,positive
135,makasih semoga gopaylater di buka kembali,5,0,4.96.2,2024-10-31 03:37:19,Jakarta Utara,terimakasih moga gopaylater buka,9,positive
136,Mantap,5,0,4.99.1,2024-10-31 03:31:46,Jakarta Barat,mantap,5,positive
137,Mudah didaoat,5,0,4.99.1,2024-10-31 03:25:00,Jakarta Utara,mudah didaoat,4,positive
138,Terimakasihbanyak barokallaahufiikum aamiin,5,0,Unknown,2024-10-31 03:19:43,Jakarta Timur,terimakasihbanyak barokallaahufiikum aamiin,2,positive
139,Penjemputan cepat dan ramh,5,0,4.92.1,2024-10-31 03:19:36,Jakarta Utara,jemput cepat ramh,3,positive
140,bagus,5,0,Unknown,2024-10-31 03:07:06,Jakarta Timur,bagus,2,positive
141,Pesen gofood Ongkirnya mahal tapi nyampe driver cuma goceng alias 5000 🤣,1,0,4.96.2,2024-10-31 02:57:52,Jakarta Timur,pesan gofood ongkirnya mahal driver ribu alias,3,positive
142,Sangat membantu,5,0,4.99.1,2024-10-31 02:57:30,Jakarta Timur,bantu,3,positive
143,"Bukan bikin praktis malah Menyusahkan dapet driver selalu yg jauh2 jaraknya, ga kaya dulu kalau pesen dapat yg dekat, jadi mempersingkat waktu",1,0,4.99.1,2024-10-31 02:57:02,Jakarta Pusat,bikin praktis susah dapet driver jarak kaya pesan singkat,7,positive
144,Pelayanan bagus drivernya ramah,5,0,Unknown,2024-10-31 02:56:27,Jakarta Timur,layan bagus drivernya ramah,9,positive
145,👍👍👍,4,0,Unknown,2024-10-31 02:42:44,Jakarta Pusat,,0,neutral
146,Senang dgn aplikasi golek.. Bnyak kejutan harga...,5,0,4.99.1,2024-10-31 02:33:47,Jakarta Selatan,senang aplikasi golek bnyak kejut harga,6,positive
147,Klo ada masalah cepet ngatasinya gak banyak lama saya doeuble pembayaran langsung di proses,5,0,4.99.1,2024-10-31 02:32:41,Jakarta Utara,cepat ngatasinya doeuble bayar langsung proses,8,positive
148,Bagus,5,0,4.83.1,2024-10-31 02:29:50,Jakarta Barat,bagus,2,positive
149,Menyenangkan,5,0,4.87.3,2024-10-31 02:26:48,Jakarta Barat,senang,5,positive
150,Good,5,0,4.99.1,2024-10-31 02:14:51,Jakarta Selatan,good,5,positive
151,Good,5,0,4.99.1,2024-10-31 02:10:45,Jakarta Utara,good,5,positive
152,Langganan plus Sama saja tetap mahal,1,0,4.99.1,2024-10-31 01:53:43,Jakarta Barat,langgan plus mahal,5,positive
153,Sangat membantu,5,0,4.99.1,2024-10-31 01:53:36,Jakarta Barat,bantu,3,positive
154,Untuk saat ini masih lumayan bagus.,4,0,4.99.1,2024-10-31 01:50:31,Jakarta Pusat,lumayan bagus,3,positive
155,Aplikasi gembel,1,0,Unknown,2024-10-31 01:49:13,Jakarta Pusat,aplikasi gembel,-9,negative
156,"Kenapa sekarang tidak bisa pesan alamat jmput untuk orang tua saya, saya diluar kota sya membutuhkan gojek untuk orang tua di pekanbaru,, tambah menurun kwalitas gojek sekarang",2,0,4.99.1,2024-10-31 01:44:22,Jakarta Timur,pesan alamat jmput orang tua luar kota butuh gojek orang tua pekanbaru turun kwalitas gojek,-11,negative
157,Sangat membantu,5,0,4.99.1,2024-10-31 01:19:32,Jakarta Selatan,bantu,3,positive
158,"Akun saya tiba-tiba dibekukan atas laporan yang saya sendiri tidak tau, sudah 2-3 tahun akun saya dibekukan dan tidak ada jalan tengah dari pihak gojek. Akun saya sebelumnya digunakan untuk transaksi jual beli top up diamond game. Saya mohon bantuannya untuk membuka akun gojek saya karena saldo tersebut sangat saya butuhkan. Laporan sudah ditanggapi tapi dari pihak gojek tidak ada alasan pasti dari 'aktivitas tidak wajar' dalam penggunaan akun saya. Mohon bantuannya.",1,0,4.99.1,2024-10-31 01:08:30,Jakarta Utara,akun tibatiba beku lapor tau akun beku jalan gojek akun transaksi jual beli top up diamond game mohon bantu buka akun gojek saldo butuh lapor tanggap gojek alas aktivitas wajar guna akun mohon bantu,34,positive
159,"Akun gopay saya di blokir , padahal sudah lama pakai , kok mala baru skrg di blokir ..",4,0,4.99.1,2024-10-31 01:07:08,Jakarta Pusat,akun gopay blokir pakai mala blokir,-11,negative
160,mantap,5,0,4.99.1,2024-10-31 00:59:06,Jakarta Barat,mantap,5,positive
161,Menyenangkan 👍,5,0,Unknown,2024-10-31 00:56:25,Jakarta Utara,senang,5,positive
162,mantap,5,0,4.98.1,2024-10-31 00:55:09,Jakarta Utara,mantap,5,positive
163,"Sangat membantu sekali, walau kadang ongkos mehong🤭",5,0,Unknown,2024-10-31 00:44:17,Jakarta Timur,bantu kadang ongkos mehong,6,positive
164,iklan sangat menggangu penggunaan aplikasi lain,2,0,4.73.1,2024-10-31 00:42:32,Jakarta Utara,iklan menggangu guna aplikasi,-3,negative
165,Mantab maju terus pantang mundur dan sukses selalu buat gojek dan buat driver,5,0,4.99.1,2024-10-31 00:38:48,Jakarta Utara,mantap maju pantang mundur sukses gojek driver,4,positive
